# z  x_e  x_H  x_He  Tmat
  9010.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.245549750000000022E+05
  9000.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.245277250000000022E+05
  8990.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.245004750000000022E+05
  8980.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.244732250000000022E+05
  8970.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.244459750000000022E+05
  8960.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.244187250000000022E+05
  8950.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.243914750000000022E+05
  8940.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.243642250000000022E+05
  8930.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.243369750000000022E+05
  8920.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.243097250000000022E+05
  8910.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.242824750000000022E+05
  8900.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.242552250000000022E+05
  8890.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.242279750000000022E+05
  8880.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.242007250000000022E+05
  8870.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.241734750000000022E+05
  8860.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.241462250000000022E+05
  8850.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.241189750000000022E+05
  8840.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.240917250000000022E+05
  8830.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.240644750000000022E+05
  8820.00  0.116786159205397100E+01  0.100000000000000000E+01  0.100000000000000000E+01  0.240372250000000022E+05
