# z    h0he0    h0he1    h0he2    h0he3    h0he4    h0he5    h0he6    h1he0    h1he1    h1he2    h1he3    h1he4    h1he5    h1he6
9.640000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.630000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.620000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.610000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.600000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.590000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.580000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.570000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.560000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
9.550000000000000000e+03 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00 1.167861592053970998e+00
