# z    he0    he1    he2    he3    he4    he5    he6
8.780000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.770000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.760000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.750000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.740000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.730000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.720000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.710000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.700000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.690000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.680000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.670000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.660000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.650000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.640000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.630000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.620000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.610000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.600000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.590000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.580000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.570000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
8.560000000000000000e+03 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00 1.167862699999999920e+00
